id,name,status,totalFee,feeRecd,realisticFee,timeline,archived,archivedOn
1,"Raghukul","Construction",121.58,86.65,35.2,"3 months to 1 year",0,
2,"Jeevan Nagar","Developer selection",53.59,50.59,403,"4 years and beyond",0,
3,"Market","Completed",25.27,22.74,2.53,"Less than 3 months",0,
4,"D.N. Nagar Sanghmitra","Construction",65.8,30.88,34.92,"1 year to 2 years",0,
5,"Prayas","Approvals",45,10,35,"3 years to 4 years",0,
6,"Mahalakshmi Staff quarters - MSQ","Pre-Designing",58,0,83,"4 years and beyond",0,
7,"Yogi Prerna chsl","Approvals",110.8,24.1,86.7,"3 years to 4 years",0,
8,"Radha Dalvi Nagar chsl","Pre-Designing",64.09,20.74,43.36,"3 years to 4 years",0,
9,"Crystal Palace chsl","Developer selection",85,1.5,250,"4 years and beyond",0,
10,"Gautam Prabhu","Construction",16,12.5,3.5,"3 months to 1 year",0,
11,"Veer Hanuman","Construction",42.5,8,34.5,"2 years to 3 years",0,
13,"Panchvati Apartment","Pre-Designing",130,27.75,102.25,"3 years to 4 years",0,
15,"Ashok Bharati Planning","Construction",15,9,6,"1 year to 2 years",0,
16,"Shatrunjay Tirupati chsl","Developer selection",185.55,1.55,374,"3 years to 4 years",0,
17,"Misquitta B co-op hsg.socy.ltd.","Developer selection",60.45,0.7,144.75,"3 years to 4 years",0,
18,"Dwarkesh Dham chsl","Developer selection",7.5,1.5,6,"Less than 3 months",0,
19,"Nanddham chsl - Dahisar West","Feasibility",0.35,0.2,500.15,"4 years and beyond",0,
20,"Mehul chsl","Approvals",24,5,19,"2 years to 3 years",0,
21,"Vrushali Shilp chsl","Tendering",300.35,0.35,560,"3 years to 4 years",0,
23,"Shree Krupa chsl and B wing chsl","Developer selection",42.34,0.7,150,"3 years to 4 years",0,
24,"Amazon chsl","Feasibility",250.5,0.5,650,"3 years to 4 years",0,
25,"Shree Ganesh Krupa chsl & Dahisar Purnima chsl","Developer selection",38,1.32,75,"2 years to 3 years",0,
26,"Rosario chsl","Feasibility",18.93,0.15,300,"2 years to 3 years",0,
27,"Shekhar Nagar chsl","DA",10.35,2.85,7.5,"3 months to 1 year",0,
28,"Prabhat Apartment - Vile Parle","Developer selection",25,0.25,45,"2 years to 3 years",0,
29,"Parshwa Giriraj chsl","Developer selection",34,0.5,75,"3 years to 4 years",0,
30,"Hare Krishna chsl","Pre-Designing",25,0,25,"2 years to 3 years",0,
22,"Su Prabhat chsl planning","Pre-Designing",15,0,15,"4 years and beyond",0,
14,"Ratnadeep chsl","DA",24,1.5,22.5,"3 years to 4 years",0,
12,"Bima Shanti chsl - Shanti Mahal","Approvals",48.5,13.5,35,"4 years and beyond",0,
31,"Nestel-B chsl","Developer Selection",24,0,50,"2 years to 3 years",1,"2026-07-14"
